t,tf_t,x,y,theta,yaw_deg,reason
1781809882.212330,1781809882.167084,-2.690408,1.866474,-0.457250,-26.198,distance
1781809882.412338,1781809882.367244,-2.671387,1.857322,-0.433161,-24.818,distance
1781809882.762342,1781809882.717334,-2.652573,1.848404,-0.402934,-23.086,distance
1781809883.012341,1781809882.967279,-2.631326,1.839619,-0.375744,-21.529,distance
1781809883.312512,1781809883.267420,-2.611421,1.835501,-0.344791,-19.755,distance
1781809883.562439,1781809883.521667,-2.593141,1.827325,-0.321736,-18.434,distance
1781809883.862474,1781809883.817302,-2.571593,1.820035,-0.296939,-17.013,distance
1781809884.112406,1781809884.067225,-2.548735,1.813376,-0.269014,-15.413,distance
1781809884.362569,1781809884.317078,-2.526452,1.807593,-0.244017,-13.981,distance
1781809884.762747,1781809884.717454,-2.504203,1.801532,-0.206161,-11.812,distance
1781809885.012349,1781809884.967427,-2.483874,1.797466,-0.183537,-10.516,distance
1781809885.212364,1781809885.167298,-2.463473,1.795322,-0.160805,-9.213,distance
1781809885.412596,1781809885.367155,-2.442629,1.792154,-0.134019,-7.679,distance
1781809885.812373,1781809885.767553,-2.421949,1.787744,-0.113313,-6.492,distance
1781809886.062469,1781809886.017249,-2.397806,1.785020,-0.111141,-6.368,distance
1781809886.412478,1781809886.367230,-2.377166,1.783874,-0.113540,-6.505,distance
1781809886.612360,1781809886.567128,-2.356651,1.781547,-0.111732,-6.402,distance
1781809886.862396,1781809886.817271,-2.328788,1.781928,-0.105656,-6.054,distance
1781809887.112391,1781809887.067092,-2.308594,1.780964,-0.101880,-5.837,distance
1781809887.412385,1781809887.367331,-2.287012,1.778778,-0.100205,-5.741,distance
1781809887.712336,1781809887.667284,-2.265219,1.774626,-0.096503,-5.529,distance
1781809887.912531,1781809887.867095,-2.245127,1.772701,-0.094019,-5.387,distance
1781809888.112347,1781809888.067318,-2.219123,1.769946,-0.095652,-5.480,distance
1781809888.362340,1781809888.317652,-2.198799,1.768017,-0.093391,-5.351,distance
1781809888.662357,1781809888.617097,-2.176327,1.765932,-0.091418,-5.238,distance
1781809888.962367,1781809888.917277,-2.152444,1.764033,-0.088408,-5.065,distance
1781809889.212367,1781809889.167554,-2.130416,1.762097,-0.086522,-4.957,distance
1781809889.362454,1781809889.317588,-2.108427,1.761983,-0.087338,-5.004,distance
1781809889.665080,1781809889.617167,-2.087422,1.760163,-0.085025,-4.872,distance
1781809889.962366,1781809889.917094,-2.065624,1.758358,-0.082583,-4.732,distance
1781809890.262339,1781809890.217303,-2.041236,1.756545,-0.077270,-4.427,distance
1781809890.512360,1781809890.467234,-2.018777,1.754831,-0.074697,-4.280,distance
1781809890.812343,1781809890.767099,-1.995714,1.755586,-0.069223,-3.966,distance
1781809891.312384,1781809891.267041,-1.982047,1.754645,-0.067878,-3.889,time
