t,tf_t,x,y,theta,yaw_deg,reason
1781701495.978423,1781701495.941394,-1.916341,4.051991,-1.796327,-102.922,distance
1781701496.178466,1781701496.141021,-1.923580,4.032893,-1.788549,-102.476,distance
1781701496.478405,1781701496.441176,-1.928893,4.009536,-1.785862,-102.322,distance
1781701496.735514,1781701496.691353,-1.933175,3.989798,-1.783069,-102.162,distance
1781701497.078585,1781701497.041407,-1.933782,3.968576,-1.778501,-101.901,distance
1781701497.387088,1781701497.341295,-1.938329,3.946873,-1.776072,-101.761,distance
1781701497.628453,1781701497.591360,-1.940807,3.925902,-1.767899,-101.293,distance
1781701497.928255,1781701497.895672,-1.945561,3.901926,-1.764451,-101.096,distance
1781701498.478458,1781701498.441415,-1.948815,3.881647,-1.759538,-100.814,distance
1781701498.728466,1781701498.691111,-1.952631,3.861539,-1.756740,-100.654,distance
1781701499.278425,1781701499.241143,-1.954827,3.849821,-1.754999,-100.554,time
1781701499.828386,1781701499.790993,-1.954827,3.849821,-1.754936,-100.550,time
1781701500.328670,1781701500.291058,-1.954827,3.849821,-1.754848,-100.545,time
1781701500.878434,1781701500.841162,-1.954827,3.849821,-1.754657,-100.534,time
1781701501.428348,1781701501.394993,-1.954827,3.849821,-1.754534,-100.527,time
1781701501.928432,1781701501.891092,-1.954827,3.849821,-1.754440,-100.522,time
1781701502.428556,1781701502.391003,-1.954827,3.849821,-1.754304,-100.514,time
1781701502.978383,1781701502.941090,-1.954827,3.849821,-1.754100,-100.503,time
1781701503.478437,1781701503.441060,-1.954827,3.849821,-1.753958,-100.494,time
1781701504.028438,1781701503.991028,-1.954827,3.849821,-1.753908,-100.492,time
1781701504.578460,1781701504.541174,-1.954827,3.849821,-1.753708,-100.480,time
1781701505.128399,1781701505.091163,-1.957139,3.837373,-1.763304,-101.030,time
1781701505.428437,1781701505.391165,-1.965985,3.817362,-1.809488,-103.676,distance
1781701505.932596,1781701505.891198,-1.968713,3.810159,-1.812390,-103.842,time
1781701506.278411,1781701506.244134,-1.974825,3.786848,-1.850752,-106.040,distance
1781701506.578353,1781701506.541055,-1.978972,3.762367,-1.882462,-107.857,distance
1781701506.928433,1781701506.891208,-1.985836,3.740802,-1.913059,-109.610,distance
